cluster,mean_stress,n_stress_points
-1,49.237129392630514,94
0,,0
1,,0
2,,0
3,,0
4,,0
5,49.54425770308123,5
6,16.927615571776155,6
7,1.0,3
8,24.666666666666668,1
9,13.9,5
10,16.75,4
11,,0
12,45.61785714285714,6
13,44.24131944444444,8
14,44.55,5
15,22.857142857142858,7
16,24.85,5
17,53.67032412032412,13
18,48.23015873015873,6
19,10.0,4
20,9.819444444444445,4
21,5.625,4
22,53.14805076628352,20
23,42.79272486772486,18
24,34.71666666666666,5
25,53.221866894906114,9
26,53.547242552935145,31
27,43.60883847413885,17
28,42.43963675213676,12
29,54.45287157287157,10
30,43.7712962962963,9
31,46.378373015873024,12
32,43.989583333333336,4
33,46.05674603174603,13
34,51.09878306878307,15
35,55.82529487420791,23
36,62.56216931216932,6
37,52.20970695970696,13
38,41.613139329805996,9
39,49.49285714285715,5
40,45.30555555555556,7
41,52.3085516559565,17
42,53.425523088023084,18
43,45.2526455026455,6
44,48.825421949082674,28
45,46.51434676434677,13
46,49.29539860792802,25
47,56.78071428571428,5
48,48.544664902998235,9
49,46.17121212121213,7
50,52.22797619047619,10
51,51.86621315192743,7
52,60.22465277777778,8
53,46.14,10
54,48.36574839302113,11
55,54.56927437641723,7
56,49.86005291005291,12
57,45.87474747474748,5
58,47.78825396825397,10
59,51.01602182539682,8
60,51.24313492063493,10
61,55.42091503267973,5
