cluster,count,hrv_max,hrv_mean,hrv_median,hrv_min,hrv_pnn50,hrv_rmssd,hrv_sdnn
-1,108,nan,nan,nan,nan,81.45774293138419,0.0,81.45774293138419
0,14,nan,nan,nan,nan,53.964285714285715,0.0,53.964285714285715
1,19,nan,nan,nan,nan,55.0,0.0,55.0
2,32,nan,nan,nan,nan,56.0,0.0,56.0
3,61,nan,nan,nan,nan,58.0,0.0,58.0
4,55,nan,nan,nan,nan,57.0,0.0,57.0
5,6,nan,nan,nan,nan,98.81035575048735,0.0,98.81035575048735
6,134,nan,nan,nan,nan,63.99626865671642,0.0,63.99626865671642
7,81,nan,nan,nan,nan,59.00617283950617,0.0,59.00617283950617
8,133,nan,nan,nan,nan,65.0,0.0,65.0
9,113,nan,nan,nan,nan,66.99203539823009,0.0,66.99203539823009
10,125,nan,nan,nan,nan,nan,0.0,nan
11,103,nan,nan,nan,nan,60.0,0.0,60.0
12,47,nan,nan,nan,nan,71.9961468791256,0.0,71.9961468791256
13,47,nan,nan,nan,nan,70.98510638297873,0.0,70.98510638297873
14,70,nan,nan,nan,nan,70.00285714285714,0.0,70.00285714285714
15,55,nan,nan,nan,nan,68.98484848484848,0.0,68.98484848484848
16,78,nan,nan,nan,nan,68.00384615384615,0.0,68.00384615384615
17,14,nan,nan,nan,nan,94.85161564625851,0.0,94.85161564625851
18,6,nan,nan,nan,nan,97.47870370370372,0.0,97.47870370370372
19,118,nan,nan,nan,nan,60.99576271186441,0.0,60.99576271186441
20,151,nan,nan,nan,nan,62.992641648270784,0.0,62.992641648270784
21,135,nan,nan,nan,nan,62.0,0.0,62.0
22,20,nan,nan,nan,nan,91.7111111111111,0.0,91.7111111111111
23,31,nan,nan,nan,nan,73.99688761059727,0.0,73.99688761059727
24,33,nan,nan,nan,nan,72.99533210896847,0.0,72.99533210896847
25,9,nan,nan,nan,nan,90.53703703703702,0.0,90.53703703703702
26,31,nan,nan,nan,nan,89.20451645918911,0.0,89.20451645918911
27,26,nan,nan,nan,nan,76.06141344561857,0.0,76.06141344561857
28,12,nan,nan,nan,nan,77.61118476430977,0.0,77.61118476430977
29,10,nan,nan,nan,nan,86.50235930735931,0.0,86.50235930735931
30,9,nan,nan,nan,nan,75.41401314734648,0.0,75.41401314734648
31,32,nan,nan,nan,nan,75.0051846590909,0.0,75.0051846590909
32,19,nan,nan,nan,nan,77.99729532163742,0.0,77.99729532163742
33,13,nan,nan,nan,nan,78.2819846819847,0.0,78.2819846819847
34,15,nan,nan,nan,nan,85.94486531986533,0.0,85.94486531986533
35,24,nan,nan,nan,nan,87.30904148275472,0.0,87.30904148275472
36,6,nan,nan,nan,nan,87.92083333333333,0.0,87.92083333333333
37,13,nan,nan,nan,nan,78.70646020646019,0.0,78.70646020646019
38,14,nan,nan,nan,nan,79.00768398268399,0.0,79.00768398268399
39,5,nan,nan,nan,nan,76.66428571428571,0.0,76.66428571428571
40,16,nan,nan,nan,nan,77.00625,0.0,77.00625
41,18,nan,nan,nan,nan,84.97599545516213,0.0,84.97599545516213
42,18,nan,nan,nan,nan,85.39952501202501,0.0,85.39952501202501
43,6,nan,nan,nan,nan,79.50925925925925,0.0,79.50925925925925
44,28,nan,nan,nan,nan,80.65056882601525,0.0,80.65056882601525
45,13,nan,nan,nan,nan,81.04688644688645,0.0,81.04688644688645
46,25,nan,nan,nan,nan,84.42726052449966,0.0,84.42726052449966
47,10,nan,nan,nan,nan,82.00666666666666,0.0,82.00666666666666
48,9,nan,nan,nan,nan,80.12210197210196,0.0,80.12210197210196
49,7,nan,nan,nan,nan,80.2381673881674,0.0,80.2381673881674
50,10,nan,nan,nan,nan,81.69841269841268,0.0,81.69841269841268
51,7,nan,nan,nan,nan,81.87226860441146,0.0,81.87226860441146
52,10,nan,nan,nan,nan,83.97840909090908,0.0,83.97840909090908
53,10,nan,nan,nan,nan,82.32494324045409,0.0,82.32494324045409
54,11,nan,nan,nan,nan,83.15553259871442,0.0,83.15553259871442
55,7,nan,nan,nan,nan,83.32857142857142,0.0,83.32857142857142
56,12,nan,nan,nan,nan,82.61081349206349,0.0,82.61081349206349
57,5,nan,nan,nan,nan,82.77474747474747,0.0,82.77474747474747
58,10,nan,nan,nan,nan,83.56803807303808,0.0,83.56803807303808
59,8,nan,nan,nan,nan,83.75763888888889,0.0,83.75763888888889
60,10,nan,nan,nan,nan,79.84229797979796,0.0,79.84229797979796
61,13,nan,nan,nan,nan,79.99572649572649,0.0,79.99572649572649
